akiec,bcc,bkl,df,mel,nv,vasc,dx
0.000123982,0.001757248,0.07175502,0.026134474,0.004627935,0.895575,2.63E-05,nv
0.001564469,0.000353284,0.5826528,0.014011072,0.00081691,0.40058225,1.92E-05,nv
7.31E-07,1.83E-06,0.005027684,5.29E-07,0.002840012,0.99212885,4.69E-07,nv
0.003012,0.027223898,0.29346594,0.039177276,0.0628165,0.56171036,0.012594005,nv
0.001044428,0.007632957,0.77603644,3.40E-05,0.19773614,0.017514134,1.84E-06,mel
3.41E-05,0.000138262,0.04272114,7.26E-05,0.02152299,0.9354967,1.42E-05,nv
0.006100452,0.056822732,0.924277,0.000270161,0.002978241,0.009514787,3.65E-05,bkl
0.000100101,4.93E-05,0.005957698,0.000135255,0.034659132,0.9590863,1.23E-05,mel
0.00147885,0.000719971,0.25649753,0.001096341,0.00565435,0.73450613,4.68E-05,nv
3.78E-05,0.002230322,0.003894212,0.000274517,0.8058782,0.18766253,2.24E-05,mel
0.000604767,8.33E-05,0.21961603,0.000588353,0.003524784,0.77557427,8.44E-06,nv
3.15E-06,2.36E-05,0.000455913,3.51E-05,0.005936662,0.99354047,5.21E-06,nv
3.02E-11,2.24E-11,2.31E-10,1,3.46E-09,3.03E-08,7.81E-11,df
1.20E-05,8.80E-05,0.001030386,1.54E-05,0.007546915,0.99130553,1.73E-06,nv
1.14E-05,0.000202112,0.011895021,8.05E-06,0.009328023,0.978496,5.94E-05,nv
1.43E-05,0.40921733,0.000296182,0.02310861,0.001040677,0.5659543,0.000368585,nv
4.58E-07,0.000173382,1.81E-05,9.05E-05,0.006943734,0.9926999,7.39E-05,nv
0.001181751,0.000582117,0.90014267,0.000668617,0.047400303,0.049997553,2.69E-05,mel
0.00033716,0.000143385,0.89633954,2.17E-05,0.00511599,0.098034315,7.87E-06,bkl
7.50E-05,6.80E-05,0.3701101,0.000285048,0.002183508,0.62727505,3.29E-06,nv
7.44E-06,0.000323637,0.005783347,0.000263622,0.000972535,0.9926479,1.55E-06,nv
6.29E-07,3.32E-05,0.000735884,1.27E-05,0.002255453,0.9969612,9.37E-07,nv
0.000215226,9.85E-05,0.8530355,2.29E-05,0.029701551,0.11692339,2.96E-06,nv
0.7238084,0.21413943,0.055814486,0.000682158,0.000299729,0.005235381,2.03E-05,scc
2.68E-05,0.000114542,1.90E-05,0.9995307,7.52E-05,0.000232462,1.33E-06,df
1.68E-05,0.9993674,0.000100903,6.99E-06,5.29E-05,0.000446432,8.64E-06,bcc
0.001740305,0.9707822,0.01620785,0.000849776,0.001028669,0.009367527,2.36E-05,bcc
0.000147931,0.000331112,0.8902905,0.00145806,0.044669103,0.06303527,6.80E-05,mel
1.23E-06,1.76E-05,6.45E-05,7.05E-06,0.001145112,0.9987637,8.13E-07,nv
7.06E-06,0.001865727,0.000898035,0.000560549,0.00139364,0.99526876,6.14E-06,nv
0.000423593,1.82E-05,0.9991757,5.59E-07,4.86E-05,0.000332612,7.65E-07,bkl
5.84E-06,3.24E-06,0.99654764,0.00017251,2.80E-05,0.003237322,5.48E-06,bkl
0.002664241,0.000845372,0.9867302,0.000289389,5.66E-05,0.00940608,8.14E-06,bkl
2.92E-05,0.000842724,0.00770802,0.000299872,0.003387813,0.98772764,4.75E-06,nv
0.000108085,6.30E-06,0.27694973,9.59E-06,0.016557276,0.7063212,4.78E-05,nv
1.67E-06,3.01E-05,0.001391987,3.49E-05,0.001071392,0.9974688,1.18E-06,nv
0.008177889,0.055317983,0.58527595,0.069909416,0.006088205,0.26860392,0.006626728,nv
0.001296615,1.85E-05,0.24161226,0.000157395,0.016452745,0.7404317,3.08E-05,nv
0.001201973,0.026733417,0.08935824,0.010077859,0.25471905,0.6178467,6.27E-05,nv
0.013534553,0.91451645,0.06910859,0.000285823,0.000199335,0.002332883,2.23E-05,bcc
0.00080718,0.006315609,0.009102693,0.39811334,0.00192736,0.58363897,9.48E-05,nv
6.17E-05,0.000688757,0.10754242,0.000183042,0.027306631,0.864148,6.95E-05,nv
1.23E-05,1.86E-05,0.9853536,1.71E-05,0.001651685,0.012945991,6.87E-07,nv
2.82E-05,0.00023679,0.003092773,0.000631329,0.016869849,0.97913384,7.12E-06,nv
2.14E-07,8.66E-05,2.08E-05,9.38E-05,0.000122071,0.9996549,2.16E-05,nv
0.000245378,0.00155307,0.15621945,0.000173744,0.1404409,0.70132416,4.33E-05,mel
1.38E-06,3.46E-05,0.000203566,3.37E-05,0.09796289,0.9017573,6.58E-06,nv
7.12E-07,1.61E-05,7.65E-05,7.00E-05,0.000114392,0.9997222,1.93E-07,nv
0.0030421,0.11625269,0.33392563,0.000842959,0.002887789,0.5424083,0.000640561,nv
3.80E-06,0.015998274,0.000121271,2.25E-05,0.000527701,0.983322,4.54E-06,nv
0.002852881,0.011473564,0.036046337,0.000954189,0.009520315,0.93903995,0.000112794,nv
0.000294876,0.000935962,0.7268389,0.003357308,0.042270858,0.22628431,1.78E-05,nv
0.00159722,0.000409751,0.98881674,2.99E-05,0.001354961,0.007787473,3.87E-06,bkl
2.06E-05,0.002798604,0.08141152,0.000667117,0.1531916,0.76189166,1.89E-05,nv
1.44E-06,0.99976426,3.81E-05,4.40E-07,0.000124539,6.98E-05,1.47E-06,bcc
0.000259277,0.000231194,0.2458096,0.01446645,0.16724251,0.5696224,0.002368558,nv
2.50E-05,0.001859931,0.030011253,0.002417565,0.04704839,0.91861653,2.13E-05,nv
0.00023549,0.000306189,0.02669148,0.000165462,0.018114833,0.95448166,4.93E-06,nv
2.47E-05,0.000238375,0.9737606,0.000526305,0.00427465,0.021173758,1.63E-06,nv
5.96E-05,0.001170977,0.8328002,0.000468476,0.058009658,0.10734206,0.000148997,nv
